OTU;Vigne_2023_106;Vigne_2023_52;Vigne_2023_150;Vigne_2023_346;Vigne_2023_90;Vigne_2023_329;Vigne_2023_107;Vigne_2023_26;Vigne_2023_54;Vigne_2023_337;Vigne_2023_21;Vigne_2023_345;Vigne_2023_334;Vigne_2023_97;Vigne_2023_159;Vigne_2023_18;Vigne_2023_92;Vigne_2023_84;Vigne_2023_339;Vigne_2023_15;Vigne_2023_37;Vigne_2023_115;Vigne_2023_83;Vigne_2023_57;Vigne_2023_343;Vigne_2023_127;Vigne_2023_154;Vigne_2023_148;Vigne_2023_116;Vigne_2023_147;Vigne_2023_153;Vigne_2023_105;Vigne_2023_9;Vigne_2023_128;Vigne_2023_36;Vigne_2023_332;Vigne_2023_50;Vigne_2023_89;Vigne_2023_3;Vigne_2023_78;Vigne_2023_86;Vigne_2023_123;Vigne_2023_130;Vigne_2023_344;Vigne_2023_81;Vigne_2023_66;Vigne_2023_39;Vigne_2023_12;Vigne_2023_156;Vigne_2023_328;Vigne_2023_124;Vigne_2023_20;Vigne_2023_95;Vigne_2023_110;Vigne_2023_144;Vigne_2023_134;Vigne_2023_70;Vigne_2023_141;Vigne_2023_55;Vigne_2023_152;Vigne_2023_91;Vigne_2023_80;Vigne_2023_114;Vigne_2023_118;Vigne_2023_85;Vigne_2023_158;Vigne_2023_23;Vigne_2023_29;Vigne_2023_98;Vigne_2023_94;Vigne_2023_168;Vigne_2023_61;Vigne_2023_166;Vigne_2023_340;Vigne_2023_131;Vigne_2023_17;Vigne_2023_10;Vigne_2023_48;Vigne_2023_136;Vigne_2023_102;Vigne_2023_2;Vigne_2023_327;Vigne_2023_16;Vigne_2023_88;Vigne_2023_34;Vigne_2023_77;Vigne_2023_330;Vigne_2023_341;Vigne_2023_103;Vigne_2023_117;Vigne_2023_59;Vigne_2023_338;Vigne_2023_347;Vigne_2023_63;Vigne_2023_146;Vigne_2023_28;Vigne_2023_125;Vigne_2023_24;Vigne_2023_35;Vigne_2023_138;Vigne_2023_82;Vigne_2023_101;Vigne_2023_45;Vigne_2023_71;Vigne_2023_163;Vigne_2023_139;Vigne_2023_Temoin_1;Vigne_2023_104;Vigne_2023_73;Vigne_2023_68;Vigne_2023_38;Vigne_2023_42;Vigne_2023_22;Vigne_2023_5;Vigne_2023_108;Vigne_2023_19;Vigne_2023_40;Vigne_2023_162;Vigne_2023_126;Vigne_2023_145;Vigne_2023_7;Vigne_2023_112;Vigne_2023_27;Vigne_2023_133;Vigne_2023_335;Vigne_2023_331;Vigne_2023_1;Vigne_2023_333;Vigne_2023_160;Vigne_2023_142;Vigne_2023_135;Vigne_2023_79;Vigne_2023_47;Vigne_2023_336;Vigne_2023_119;Vigne_2023_67;Vigne_2023_Temoin_2;Vigne_2023_13;Vigne_2023_6;Vigne_2023_49;Vigne_2023_167;Vigne_2023_46;Vigne_2023_155;Vigne_2023_25;Vigne_2023_149;Vigne_2023_151;Vigne_2023_65;Vigne_2023_44;Vigne_2023_109;Vigne_2023_14;Vigne_2023_41;Vigne_2023_74;Vigne_2023_30;Vigne_2023_100;Vigne_2023_87;Vigne_2023_137;Vigne_2023_62;Vigne_2023_121;Vigne_2023_72;Vigne_2023_111;Vigne_2023_53;Vigne_2023_31;Vigne_2023_64;Vigne_2023_120;Vigne_2023_4;Vigne_2023_122;Vigne_2023_140;Vigne_2023_96;Vigne_2023_43;Vigne_2023_93;Vigne_2023_143;Vigne_2023_157;Vigne_2023_99;Vigne_2023_32;Vigne_2023_165;Vigne_2023_58;Vigne_2023_33;Vigne_2023_69;Vigne_2023_164;Vigne_2023_51;Vigne_2023_60;Vigne_2023_75;Vigne_2023_76;Vigne_2023_113;Vigne_2023_8;Vigne_2023_129;Vigne_2023_161;Vigne_2023_132;Vigne_2023_34300;Vigne_2023_342;Vigne_2023_11;Vigne_2023_56;TotalCount;MappingConfidence
HQ643721.2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;4;16;0;0;0;0;0;0;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;14;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;5;1;0;0;0;0;0;0;0;0;0;4;3;0;0;1;0;0;0;0;1;0;3;0;0;2;0;0;0;0;4;0;0;3;1;0;2;0;0;0;0;108;89.56%
EU049217.1;1;15;5;8;3;5;5;22;14;4;9;9;3;2;6;734;3;22;7;18;15;826;19;10;6;289;7;3;6;145;3;8;38;5;12;15;210;1;11;24;7;622;148;7;29;22;10;113;4;11;8;16;5;2;1711;1;35;7;13;4;3;5641;1393;732;15;4;11;643;3;5;666;43;11;7;1277;26;11;7;792;9;23;12;468;20;142;81;13;7;2;3;76;8;13;321;3;8;6;10;232;4;83;7;17;10751;3;10;9;7;11;6;13;20;5;434;595;10;7;5;6;2;604;19;24;3;3;7;22;6;5;1;3;15;17;5;763;13;6;18;1200;15;4;214;4;1025;5;7;31;7;449;23;17;22;8102;1;120;0;16;7;5030;2;13;12;12;1130;22;1;1;7;2741;2;1024;83;5;600;8;22;457;5;11;7;10;19;293;8;17;5;7;815;3;7;12;456;55725;51.64%
HQ643681.2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;1;2;1;1;0;0;0;2;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;5;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;2;9;0;1;0;0;1;0;0;1;0;0;0;1;3;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;10;0;0;0;4;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;20;0;0;7;5;0;1;0;0;2;0;0;1;0;3;0;0;1;5;0;2;0;0;0;2;0;0;0;1;4;0;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;6;1;0;8;0;0;2;0;0;1;0;154;92.16%
HQ643766.1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1386;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1413;99.43%
MT588812.1;17;8;8;3;14;1;3;45;30;2;1674;5;3;0;2;792;3;91;2;145;43;972;38;11;1;76;2;2;8;1944;5;3;1187;2166;594;8;5781;0;10;56;7;3078;508;6;45;14;5;1333;3;4;79;1254;3;0;134;5;14;17;7;6;3;19;637;7;32;1;1451;1097;17;10;68;66;40;1;10;1446;25;25;113;0;39;3;6807;15406;1134;38;3;5;5;3;22;6;3;27;10;461;5;591;25;8;87;8;42;28;5;244;2;8;218;3;4;2151;106;181;462;8;15;36;35;2;1793;18;64;0;3;4;40;5;37;0;1;33;4938;6;451;17;4;1071;63;51;7;2;39;844;2;3;5;8;438;11;12;56;6199;0;59;148;31;10;44;1;28;4;30;1345;49;1;2;7;9;22;2383;307;3;43;6;16;61;7;6;3;77;76;713;8;592;1;1;88;4;3;144;12;78160;71.77%
KP330867.1;2;4;4;2;1;6;1;16;13;4;115;2;0;0;4;89;2;28;1;305;10185;763;10;3;2;99;0;1;1;8;6;1;41;4;10;12;12;0;6;16;7;5900;2;1;14;5;0;543;3;5;1;125;1;2;11;2;12;1;6;5;2;3;620;3;8;3;105;8;1;2;2;32;1414;2;1;73;14;10;6;1;13;3;888;13;501;7;4;2;1;0;13;1;5;11;1;553;0;138;21;2;16;3;19;3;0;11;2;1;44;2;12;21;124;21;5360;6;4;6;3;2;14943;4;447;0;1;7;17;0;2;0;3;12;11;5;1841;11;4;706;299;19;1;5;3;190;3;0;8;2;235;8;7;22;7862;1;121;1;7;4;10;2;13;2;23;72;21;2;0;4;8;3;17;3;0;251;7;9;41;11;3;1;20;85;12;3;1800;1;1;2;3;7;255;6;58082;38.53%
MK163944.1;12;0;0;1;0;0;0;0;0;0;11;0;1;0;0;73;0;19;0;37;1;102;0;0;0;181;0;0;0;2;0;1;7;3;0;3;1;0;0;4781;0;39;1;1;0;1;0;51;1;0;0;118;0;0;9;0;0;0;0;0;0;945;29;0;0;0;2;36;0;0;1;2058;22;0;3;86;0;0;26;0;0;0;13;1;3;1;1;0;1;0;4;0;0;2;0;2;0;2;2;0;9;0;0;9;0;8;1;0;81;0;0;3;3;2;680;0;0;4;0;0;143;0;0;0;0;2;0;0;2;0;0;5;2;0;42;0;0;6;15;0;0;19;0;109;0;0;6323;0;8;1;0;6836;1693;1;7;0;0;0;280;0;0;0;3;63;0;0;1;0;29;0;2890;33;0;4;0;0;4;0;0;0;1091;1741;6;0;8;0;12;0;0;0;5;59;30940;96.62%
AY211019.1;22;94;44;43;32315;98;38;135;106;26;372;72;23;21;41;305;31;73064;76;145;122;26;102508;104;43;20;34;26;41;26;43;29;2122;28;113;123;155;21;63;20903;89;2132;17;61;113;83;60;92;43;93;46;2000;41;46;41;19;80;24;95;34;27;81809;228;43;106588;35;609;53;871;41;7683;96;86575;38;21;577;104;84;76383;46;147;74;759;51154;131;17830;65;76;36;18;112;43;63;58;23;78;29;67;103;21;134;38;428;44897;15;20;84;56;36148;76;87;207;195;155;3029;101;80;32021;69;18;104;50;124;24;26;96;147;94;158549;18;26;75520;73;55;37;72;48;361;214;167;47;75;68;170;27;24;98;65;12951;146;157;50979;194;30;39876;37;99;59;15415;33;107;61;644;40;161;16;21;34;69;44;101;170759;28;104;52;130;111;71;47;75;131;62770;95;48;115;33;38;15;48;57;140;81;1382087;99.38%
AY198246.3;2;6;3;7;2;16;6;9;6;13;14436;12;4;4;10;7119;9;3;18;12;9;16713;0;6;11;463;11;4;2;45631;15;7;31757;33848;38;13;2334;2;6;5354;16;33537;31714;18;12;4;4;17657;4;16;27;20414;9;4;2202;1;32;114;2;16;5;773;20063;16;5;7;165;15025;7;8;0;1899;1;7;5;12359;4;2;7;6;19;14;793;1983;7741;2;11;11;11;6;8;4;17;6;2;7126;4;8069;4;7;11;5;14;6;3;511;19;20;4;6;15;267;28;4332;15052;4;4;4;9;3;22859;140;29;5;3;17;9;21;1;4;6;4;2154;18;2613;11;22;28216;22;7;5;13;13;12403;5;6;5431;2;19856;22;18;6080;2541;2;8;11203;9;4;646;6;12;0;4;11513;9;4;5;9;283;4;19158;5;7;5;17;6;5;6;17;3;9665;1535;4027;10;9828;4;4;69;17;16;23;5;530952;41.73%
AY198253.3;13;31;36;51;18;33;35;55;39;26;17;75;14;23;35;29551;27;36;71;37;31;20100;42;32;45;587;32;24;22;2700;33;25;72;16;30;46;10806;25;22;64;43;13234;4391;53;40;29;27;114;46;29;62;39;33;37;44831;30;37;23;35;25;19;3344;73862;20062;46;33;23;4164;22;46;49716;290;41;40;87560;64;39;23;42275;47;52;45;413;43;158;110;19;197;33;14;286;41;74;92587;28;22;43;15;16680;16;93;37;48;27954;31;14;15;32;21;13;22;37;37;2747;2547;28;15;25;45;16;1060;582;86;15;38;22;45;34;39;19;23;40;39;35;46763;21;72;46;61433;54;44;620;36;42744;26;21;64;31;7362;47;49;75;11042;20;216;19;45;37;4337;26;40;15;9;72353;35;27;23;50;16313;37;16740;5884;38;23223;48;38;29911;23;38;22;42;62;104;41;42;32;43;47611;43;45;39;531;945333;82.21%
AY198298.3;4;29;6;5;3;24;9;35;20;1;4037;8;1;6;10;3629;2;28;13;6168;23;1130;29;27;7;49;1;3;21237;319;9;4;198;10;19;26;33;4;16;1004;23;100;7;6;36;23;12;27;7;17;6;12114;7;6;25;30861;24;3;24;3;5;158;3866;7;19;3;35057;9487;8;9;18;348;9;7;61;5357;25;14;248;11;34;28;12691;22;52;18;19;6;7;2;62;8;13;34;14596;14;5;2858;27;6;48;7;1250;24;6;62;20;10;23;14;29;863;71059;13869;159;18;9;11;10;4;3268;7;35;3;4;22;36;21;9;3;3;12791;15;5;156;26;5;3043;291;26;6;29;7;9661;4;4;972;19;80;37;27;3606;13351;2;84;4;18;7;183;3;25;16;7726;107;25;3;8;10;235;2;540;167;4;23452;10;25;45912;25;4;18;539;334;40;9;37751;4;5;38;10;7;2785;51;421991;89.05%
EU049216.1;1;8;4;7;1;11;3;12;13;4;6;9;2;1;4;493;1;15;6;5;13;0;11;8;5;734;1;2;2;2;1;5;16715;2;4;7;52;1;6;16;8;26;5;5;9;7;7;28;2;15;2;15;4;2;28;0;49;1;11;2;2;26;94;2;4;3;7;676;1;5;94;12;1;3;138;20;7;6;120;5;14;7;498;3;16248;62;6;6;6;2;148;7;11;11;1;2;3;8;56;3;13;5;12;23;3;1;4;5;6;8;4;6;7;19;0;5;2;21859;4;3;159;10;16;2;4;6;16;5;4;3;2;8;16;1;75;1;9;11;359;13;3;412;4;156;3;3;52;7;4;12;14;8;323;1;12;2;11;2;80;2;8;4;10;130;13;2;2;5;527;0;50;278;7;101;2;13;138;6;1;4;11287;7;1566;1;9;5;2;81;3;7;4;550;75390;99.82%
MN450332.1;4;2;9;9;4;0;2;0;1;1;482;4;2;5;2;223;4;2;8;139;0;1727;0;2;6;66;4;3;3;7084;7;2;611;4149;3;316;7;4;0;1154;1;3249;2932;17;0;1;1;515;6;2;1;1885;6;5;551;4;0;51;0;2;4;209;2124;10;0;4;147;328;6;8;8;580;4;0;4;1883;1;0;8;2;0;2;64;63;208;0;1;9;4;4;4;5;9;0;3;188;2;355;5;2;1;8;2;1;6;10860;4;7;20;0;2;4;32;106;3031;0;0;2;7;3;280;20;0;2;4;0;1;0;2;1;4;1;76;7;1597;0;7;705;7;1;5;4;2;1525;4;4;1210;1;3190;2;1;1258;483;2;30;194;0;6;25;0;1;0;1;2882;0;2;4;4;18;4;4856;9;5;2;2;1;1;1;6;6;417;2847;375;5;436;1;5;66;3;9;166;5;68435;52.38%
MT734670.1;10;12;0;4;0;2;4;4;6;1;622;5;2;1;2;233;2;6;5;10;8;1010;7;8;5;82;2;0;0;1007;12;4;3246;3972;23;7;93;2;9;186;4;603;3303;4;8;4;3;568;6;4;27;4174;7;3;526;7;6;21;5;7;1;84;829;18;5;1;94;412;1;7;1;141;1;3;4;589;3;3;3;7;11;1;511;923;3115;6;2;4;2;1;13;7;10;7;6;167;2;281;4;10;6;8;12;7;1;779;2;11;5;2;6;40;397;129;1570;8;2;3;4;1;920;25;10;2;4;4;7;5;1;1;1;2;204;4;276;4;9;2584;12;9;3;2;3;375;4;4;236;1;1536;1;8;314;521;1;36;139;5;3;252;2;2;1;6;710;13;3;2;5;294;4;671;2;3;4;17;13;8;4;7;7;237;159;298;11;295;8;2;54;4;5;40;7;40613;19.53%
